Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
2026-09-01,UPI-SWIGGY-REST4892-BLR,UPI-982341234,2026-09-01,480.00,,64520.00
2026-09-02,ACH-TCS-INNOVATION-STIPEND-CR,ACH-00912831,2026-09-02,,35000.00,99520.00
2026-09-03,POS-AMZN MKTP IN*PAY98124,POS-88273611,2026-09-03,2499.00,,97021.00
2026-09-05,UPI-UBER INDIA SYSTEMS PVT-DEL,UPI-11928374,2026-09-05,340.00,,96681.00
2026-09-07,BILLPAY-AIRTEL FIBER PREPAID DL,BP-99823411,2026-09-07,1179.00,,95502.00
2026-09-10,UPI-BLINKIT GROCERY PVT LTD,UPI-77182938,2026-09-10,845.00,,94657.00
2026-09-12,UPI-IRCTC E-TICKETING NDLS,UPI-44910293,2026-09-12,1250.00,,93407.00
2026-09-15,POS-NETFLIX ENTERTAINMENT IN,POS-33291823,2026-09-15,649.00,,92758.00
2026-09-18,NEFT-UPWORK GLOBAL ESCROW DISB,NEFT-0044912,2026-09-18,,18500.00,111258.00
2026-09-20,UPI-MITS GWALIOR EXAM FEES,UPI-88392019,2026-09-20,3500.00,,107758.00
2026-09-22,UPI-ZERODHA BROKING FUND TRF,UPI-77291823,2026-09-22,10000.00,,97758.00
2026-09-24,UPI-APOLLO PHARMACY ONLINE,UPI-99238471,2026-09-24,620.00,,97138.00
