Transaction ID,Date,Payment Mode,Paid To / Received From,Type,Amount,Status
TXN_UPI_882910,2026-08-28,UPI,Swiggy Limited,DEBIT,360.00,SUCCESS
TXN_UPI_882911,2026-08-27,UPI,Zomato Media Pvt,DEBIT,450.00,SUCCESS
TXN_UPI_882912,2026-08-25,UPI,Ola Cabs Mobility,DEBIT,220.00,SUCCESS
TXN_UPI_882913,2026-08-22,UPI,Jio Prepaid Recharge,DEBIT,349.00,SUCCESS
TXN_UPI_882914,2026-08-20,UPI,Flipkart Internet Retail,DEBIT,1899.00,SUCCESS
TXN_UPI_882915,2026-08-18,UPI,Spotify India Sub,DEBIT,119.00,SUCCESS
TXN_UPI_882916,2026-08-15,UPI,Decathlon Sports Store,DEBIT,2150.00,SUCCESS
TXN_UPI_882917,2026-08-12,UPI,Zepto Grocery Quick,DEBIT,540.00,SUCCESS
TXN_UPI_882918,2026-08-10,UPI,BookMyShow Tickets,DEBIT,800.00,SUCCESS
TXN_UPI_882919,2026-08-05,UPI,Tata 1mg Medicines,DEBIT,780.00,SUCCESS
